H,S,V,Label
13.531069958847736,10.474485596707819,227.35576131687242,1
14.384979423868312,18.68641975308642,220.56728395061728,1
10.220576131687244,17.864814814814814,236.80185185185186,1
11.801851851851852,28.090534979423868,244.8514403292181,1
43.81152263374486,16.97201646090535,170.620987654321,1
32.61543209876543,36.94835390946502,205.97181069958847,1
21.398559670781893,50.33744855967078,242.75267489711933,-1
38.70843621399177,39.8201646090535,233.83189300411522,-1
40.95740740740741,16.031275720164608,176.72037037037038,1
48.82263374485597,32.24012345679012,208.4014403292181,-1
51.038271604938274,55.96975308641975,222.42736625514402,-1
67.48004115226337,36.11666666666667,228.65102880658435,-1
37.959053497942385,12.483333333333333,206.64526748971193,-1
56.51111111111111,15.336625514403293,187.13683127572017,-1
48.81460905349794,26.132098765432097,218.2434156378601,-1
84.57695473251029,42.93333333333333,231.2923868312757,-1
61.39238683127572,31.17222222222222,234.61152263374487,-1
23.267427884615383,10.345552884615385,228.71714743589743,1
23.02283653846154,9.311899038461538,226.67668269230768,1
14.146233974358974,17.389222756410255,238.30969551282053,1
12.860777243589743,30.561298076923077,244.81330128205127,1
10.421073717948717,24.685496794871796,244.92988782051282,1
30.130008012820515,10.909655448717949,222.26522435897436,1
32.90204326923077,13.163261217948717,214.05048076923077,1
20.264222756410255,27.493589743589745,230.94591346153845,1
20.952123397435898,49.31850961538461,237.66185897435898,-1
64.03946314102564,40.24759615384615,229.07191506410257,-1
26.018229166666668,9.626201923076923,223.13741987179486,1
30.367588141025642,12.25821314102564,210.25620993589743,-1
53.97596153846154,27.638421474358974,225.81169871794873,-1
77.43028846153847,50.89282852564103,232.32732371794873,-1
81.8964342948718,41.517027243589745,229.72916666666666,-1
17.279847756410255,10.282652243589743,224.5234375,-1
22.372395833333332,14.099759615384615,206.10476762820514,-1
32.95072115384615,19.00060096153846,228.36217948717947,-1
57.73116987179487,29.376201923076923,237.0274439102564,-1
46.98056891025641,23.892828525641026,238.4471153846154,-1
33.897619047619045,15.39090909090909,218.84134199134198,1
45.11103896103896,19.756060606060608,202.7448051948052,1
28.33138528138528,21.765800865800866,226.4439393939394,1
13.892857142857142,32.33961038961039,243.687012987013,1
11.233333333333333,26.12987012987013,244.03593073593075,1
62.62229437229437,13.35995670995671,216.662987012987,1
97.41731601731601,17.093939393939394,191.81709956709958,1
46.48722943722944,28.3969696969697,218.03138528138527,1
21.74047619047619,50.53181818181818,241.92077922077922,1
17.633333333333333,40.96623376623376,241.3865800865801,1
75.13614718614718,11.756060606060606,218.1060606060606,1
113.42229437229437,12.386796536796536,191.0047619047619,1
50.93116883116883,25.945670995670994,215.7077922077922,1
21.25,49.394805194805194,236.2357142857143,1
17.233333333333334,40.03896103896104,236.75021645021644,1
45.54480519480519,13.82857142857143,221.34285714285716,1
67.97900432900433,13.375108225108225,200.87900432900432,1
33.96796536796537,25.5,218.78181818181818,1
18.307142857142857,42.57272727272727,242.6935064935065,1
14.833333333333334,34.47532467532468,242.0608225108225,1
